State Name,Two Wheeler,Three Wheeler,Four Wheeler,Goods Vehicles,Public Service Vehicle,Special Category Vehicles,Ambulance/Hearses,Construction Equipment Vehicle,Other,Grand Total,total-charging-stations,Charging_Station_Share (%),Chargers per 1k EVs,EV_per_Station,State Population (millions),State Area (km²),Urbanization Rate (%),EV-Friendly Policy Score,EV Registrations (in thousands),Electricity Rate (Rs/unit),Smart Cities Count
Odisha,49598,70037,9275,28.4,147.5,11,9,6,1177,213107,326,11.6,1.061106,2662.712886,212.92,56298.35,33.65,4,734,7.86,17
Telangana,43189,65292,5687,448.0,292.8,0,3,5,1166,187914,280,3.45,7.549289,272.125786,57.96,321622.17,27.42,6,217,4.03,8
Andhra Pradesh,47558,3501,5232,244.5,410.2,4,3,0,86,78998,385,14.73,4.070879,595.586891,155.96,281854.0,81.34,9,760,8.44,2
Uttar Pradesh,49205,32975,800,319.1,202.8,22,1,9,1036,100113,868,18.08,4.387186,75.041864,20.22,246491.47,69.15,2,220,5.25,15
Delhi,23799,56676,7094,300.3,79.9,6,3,4,1978,26443,185,14.75,3.661628,4309.915571,158.93,102210.54,63.67,9,383,6.96,9
Karnataka,57687,87857,6195,392.5,195.1,11,4,6,1736,190536,992,0.5,1.651047,4762.6894,158.56,347973.86,36.55,5,733,4.58,16
Bihar,15842,93562,2883,33.3,168.6,28,0,2,9,17202,415,17.49,0.689561,2958.336523,5.95,300154.61,48.61,7,387,9.0,8
Maharashtra,51280,78350,9522,80.9,278.1,21,9,2,329,124645,532,13.68,2.326883,996.766668,186.12,64035.97,64.55,9,808,6.88,7
Rajasthan,65284,83169,196,37.9,361.9,22,5,6,3,33866,369,11.99,8.138269,1621.64463,68.78,78544.17,72.47,4,412,5.01,10
Tamil Nadu,21040,38430,8089,52.5,195.7,6,7,8,1732,198552,990,11.23,5.405651,112.327864,20.87,282155.3,33.87,3,938,8.98,4
Assam,61664,95650,6174,251.3,438.4,13,4,2,1330,171534,261,9.01,7.720281,2840.160588,31.02,121145.78,57.62,2,990,6.62,19
West Bengal,74707,22141,2453,145.4,143.1,14,6,1,1537,240241,235,14.63,6.777,125.812302,73.14,181390.57,46.58,9,375,6.42,14
Haryana,19149,28025,1714,1.4,307.5,25,3,0,1158,298944,183,14.67,0.980293,1417.578806,15.5,11772.8,69.15,4,879,8.02,16
Uttarakhand,12929,5851,3513,418.8,36.8,3,6,4,253,18524,25,17.53,8.996833,3232.996224,239.19,84653.09,35.04,2,498,3.92,14
Gujarat,61391,97459,6329,24.3,244.9,16,9,9,1298,127905,591,8.02,8.556105,590.318614,59.91,236370.86,62.63,7,265,8.68,1
Punjab,47840,98545,1383,20.0,326.7,26,7,1,655,74620,109,5.93,6.461835,4981.343112,237.95,57978.34,67.3,4,334,7.06,1
Kerala,56937,34334,4373,296.4,85.2,21,1,0,1987,216479,381,3.77,7.5325,2716.953455,134.7,129336.78,42.82,9,807,7.06,15
Madhya Pradesh,51969,103014,4660,242.2,189.3,0,3,5,847,243844,984,8.38,4.373292,3285.18006,44.43,137612.88,69.31,6,979,3.76,6
Chhattisgarh,69105,20687,9368,403.0,396.2,22,2,0,1258,125952,497,16.12,7.171548,3157.144893,199.17,42376.39,24.2,8,154,4.29,7
Jharkhand,1907,19665,7907,486.4,320.5,3,8,0,550,240084,279,5.34,8.937741,3802.317472,185.2,281269.08,28.91,1,672,4.51,8
Odisha,54742,42067,7467,106.9,172.8,4,7,4,1619,155417,472,20.98,9.415488,2480.68689,100.24,327455.24,39.02,10,796,3.25,7
Telangana,44979,64889,3322,373.2,409.2,12,3,4,432,150311,281,6.19,1.969088,373.369012,55.41,257161.35,48.43,9,824,8.24,13
Andhra Pradesh,43312,40429,5332,408.9,374.9,3,0,4,1288,219826,243,15.73,2.432004,2589.993665,52.52,97969.21,79.3,1,50,8.93,19
Uttar Pradesh,47704,67557,9233,3.8,280.3,22,1,4,428,110590,215,7.8,2.092656,2487.980141,103.61,277341.25,63.86,8,311,5.63,6
Delhi,22037,31450,8582,142.1,430.8,22,5,3,260,28889,399,19.72,6.183612,4335.081636,59.59,17895.43,86.84,9,562,7.24,7
Karnataka,73262,118850,9376,207.6,26.6,25,1,5,1484,227463,278,17.51,7.514265,3049.81589,98.08,222389.03,87.16,10,168,6.36,3
Bihar,35767,2853,5576,473.7,213.3,29,2,1,1605,292481,381,13.79,5.01312,1716.616208,204.37,240350.17,84.34,8,905,3.8,2
Maharashtra,55593,39369,6482,181.5,295.9,2,2,3,460,224691,990,6.57,4.62916,4808.396349,240.25,324622.79,24.18,10,957,3.82,10
Rajasthan,32082,7401,8762,241.8,123.3,4,5,4,678,260923,254,17.04,2.638482,2873.21331,27.81,203991.84,69.8,6,591,4.2,15
Tamil Nadu,8548,34796,528,387.1,262.2,23,2,5,570,84357,848,8.57,9.018123,278.919871,236.83,210769.7,38.28,3,378,5.62,4
Assam,70493,98083,7826,449.4,84.1,5,8,5,930,77971,339,9.4,4.287327,1764.470458,141.26,126434.63,85.08,6,759,8.07,18
West Bengal,7657,97745,1042,142.4,431.8,15,7,9,477,45190,151,6.39,7.562268,4223.058101,111.44,160015.08,85.96,4,326,3.21,16
Haryana,58523,23072,6373,292.8,187.4,3,1,3,447,33982,827,16.28,7.99522,2396.362557,57.35,133720.04,63.39,4,33,5.29,8
Uttarakhand,29860,5862,6450,313.5,340.1,21,4,4,64,25925,832,10.67,2.872767,4540.996942,193.38,295534.35,67.76,9,760,6.89,17
Gujarat,20498,60146,2512,65.9,397.3,24,5,5,467,62232,591,21.02,4.139985,2282.356164,66.41,62438.23,83.83,4,504,3.04,8
Punjab,35717,68233,9803,169.3,132.6,23,3,0,1165,297296,478,3.86,4.37998,4666.916421,40.11,28211.31,46.15,7,410,8.86,11
Kerala,46717,117255,6341,206.8,33.2,25,0,2,1006,292067,754,13.13,6.509602,1874.21318,181.69,181512.65,25.31,5,646,8.27,15
Madhya Pradesh,44634,31013,2197,141.0,59.6,27,2,6,1136,92729,67,6.84,8.770441,4459.041634,138.14,123757.15,84.73,10,467,6.82,15
Chhattisgarh,34692,50789,2150,319.6,164.8,24,8,0,1297,74560,76,1.14,6.481021,2816.030203,97.29,264387.19,49.32,5,147,6.0,13
Jharkhand,63195,12175,4087,445.6,284.9,6,4,7,1675,52123,58,22.89,6.094609,758.448166,25.36,36168.84,85.79,10,565,4.11,14
Odisha,11632,98393,6847,375.5,345.4,16,6,1,1422,191087,307,15.13,0.351816,2474.198267,218.93,106528.99,67.67,10,160,6.29,1
Telangana,71773,105551,701,423.4,468.7,13,3,4,1410,104990,784,5.69,7.547087,4861.262774,45.91,217424.26,59.49,8,789,8.24,6
Andhra Pradesh,78720,50879,542,96.2,233.1,19,6,4,1071,277386,15,1.74,7.794917,4795.763498,191.57,105459.17,45.21,1,368,3.38,18
Uttar Pradesh,29896,39115,9558,248.2,113.6,5,6,5,1385,149247,758,21.66,5.544976,732.361224,222.33,176727.6,36.21,4,369,4.29,2
Delhi,2890,6041,6239,115.0,472.1,29,9,4,1576,65735,667,15.06,8.580016,4806.409263,181.58,100572.04,56.88,4,688,8.2,8
Karnataka,13795,73313,4252,213.9,167.5,20,5,4,657,103490,380,5.82,9.705469,3059.894924,196.69,216061.63,66.54,8,625,5.43,19
Bihar,32218,115036,4955,476.9,203.8,10,3,2,1549,273126,886,2.83,8.89298,4729.02523,183.43,157417.34,72.77,2,736,6.45,2
Maharashtra,15429,108371,9234,400.2,315.5,18,8,7,378,238443,485,10.81,4.942072,3551.889129,65.56,138024.77,79.57,4,569,3.99,9
Rajasthan,38601,55644,9643,478.7,305.4,24,3,2,1036,11213,129,24.92,5.796992,2212.613012,119.43,172569.39,22.11,2,781,4.32,2
Tamil Nadu,77253,35396,5370,499.5,361.8,19,9,5,1731,206360,229,18.77,6.256448,2433.926901,70.79,177393.55,42.13,5,957,4.49,17
Assam,50938,19536,3283,112.4,113.8,2,9,0,1441,28941,571,14.95,4.766208,1344.538882,109.8,195002.27,68.36,10,628,5.2,19
West Bengal,43735,19125,7230,121.7,267.3,18,0,5,1208,123021,23,5.55,5.573759,4999.645438,81.98,110659.49,84.75,2,195,5.18,11
Haryana,18836,36110,4195,329.1,280.2,7,1,0,516,137278,318,21.35,9.51112,4795.644498,28.88,44648.83,66.55,9,45,8.64,1
Uttarakhand,55621,71042,9515,161.7,387.9,14,2,7,1614,44094,60,5.37,5.555057,2243.849478,147.61,238603.7,39.48,2,168,4.89,10
Gujarat,8974,87925,6699,492.6,26.0,18,5,2,1802,39486,717,13.48,3.449467,4833.467468,31.5,249841.68,30.64,4,511,4.67,2
Punjab,8425,113413,1370,161.8,460.3,15,5,3,0,129528,850,5.43,5.393897,2732.993153,57.24,325759.65,74.8,5,115,7.37,12
Kerala,12465,88346,5539,332.2,459.0,20,7,7,1926,215788,243,10.68,4.149026,1237.128605,36.47,286487.93,25.67,4,326,7.51,17
Madhya Pradesh,46945,99782,2057,346.3,129.4,15,2,8,1896,18933,897,15.7,6.18632,3959.402206,134.88,87811.7,68.26,3,551,7.07,1
Chhattisgarh,64505,27240,1586,103.1,355.7,8,4,8,223,168106,657,17.81,7.441825,4131.510494,233.46,258024.32,42.02,1,227,4.97,7
Jharkhand,33624,62836,8219,446.3,196.5,1,2,4,767,199402,657,10.78,9.802573,4172.421315,125.52,142117.88,64.18,6,130,6.11,17
Odisha,65047,67233,2785,117.1,142.2,11,3,2,1181,281350,32,14.51,7.580032,4544.406225,60.82,309908.52,89.57,5,375,7.8,14
Telangana,52595,85017,3402,221.2,496.7,25,3,8,1111,11175,483,13.27,9.094166,2668.272594,227.77,238037.63,26.69,6,81,4.07,18
Andhra Pradesh,18293,96605,7379,149.5,287.7,13,5,6,1185,95892,212,8.91,3.327231,2685.150092,145.12,305126.69,73.56,6,623,4.18,12
Uttar Pradesh,71251,69829,9994,474.2,444.1,27,1,5,1319,132519,400,11.67,3.834919,547.099123,126.62,155495.05,74.84,1,466,3.35,19
Delhi,79045,78872,5216,210.4,387.1,8,1,5,1597,70022,293,21.65,1.120482,1323.143322,196.8,308109.7,84.52,7,708,3.85,4
Karnataka,61404,90551,6708,33.7,196.4,11,3,6,205,133364,275,22.97,2.337494,3484.181484,191.69,139490.63,68.61,9,495,5.79,14
Bihar,44658,93426,2754,113.6,432.1,15,1,8,10,264155,62,21.62,9.205268,1052.412003,62.58,303047.86,79.35,6,259,3.22,4
Maharashtra,37841,97705,243,335.2,82.2,17,8,9,1595,111957,112,18.02,8.351063,2376.423795,196.9,212701.45,62.72,1,668,7.12,2
Rajasthan,11794,39176,8000,203.4,384.6,26,6,9,674,34125,957,21.64,9.131281,2789.610914,137.57,332779.79,25.57,4,37,4.95,15
Tamil Nadu,24647,44278,6558,482.8,198.3,12,6,2,28,299628,298,11.54,2.834904,158.621941,228.29,28852.37,45.82,1,30,5.52,19
Assam,25798,114002,791,349.9,121.2,24,3,0,548,24750,636,20.32,9.941434,886.192605,195.09,49330.57,52.13,10,140,4.08,8
West Bengal,46503,111603,6453,397.1,388.1,23,1,3,128,60515,217,4.36,7.777169,2776.633637,34.79,285282.39,89.39,8,216,6.78,4
Haryana,12482,107667,4210,371.4,349.1,18,3,4,1188,174967,369,21.84,7.392975,3445.788455,132.15,292195.75,47.86,1,290,6.31,7
Uttarakhand,9639,45119,6249,79.8,152.7,17,0,2,1143,207890,611,1.06,8.845567,4996.567686,151.98,106534.47,62.81,2,877,5.33,3
Gujarat,13473,51302,1132,197.1,371.5,12,1,7,1410,114245,274,5.94,6.227898,4036.272131,151.11,252193.71,77.84,6,208,6.49,12
Punjab,15076,66638,794,96.0,116.9,4,9,9,1184,94208,41,10.83,1.106774,372.257851,195.98,308610.57,27.11,5,741,7.99,9
Kerala,9804,105482,8532,240.8,137.2,18,8,0,353,248613,95,14.35,4.328644,2040.722322,26.39,53384.62,78.48,8,367,7.71,5
Madhya Pradesh,68949,116021,8995,363.8,138.5,10,0,2,1744,278456,430,20.01,7.668021,590.243958,49.33,329427.34,39.11,4,705,7.72,15
Chhattisgarh,52968,76512,369,484.9,499.6,23,4,0,1264,281779,280,7.86,1.036485,3074.745366,225.96,182398.75,81.4,4,383,8.33,10
Jharkhand,52028,70255,4298,293.7,97.0,21,2,1,593,67402,904,10.7,9.994928,3247.490098,46.66,123715.68,67.37,4,981,4.53,12
Odisha,69667,60604,606,255.1,161.5,7,3,0,1867,152944,648,24.37,2.980535,3952.268742,56.69,337924.55,74.08,6,573,6.0,10
Telangana,65004,85775,2903,241.4,92.5,0,0,7,275,20405,890,2.48,2.635402,3549.817229,232.72,133182.36,72.43,7,754,4.02,16
Andhra Pradesh,1992,51222,637,150.4,60.2,28,2,3,685,61618,255,17.33,5.1402,1195.644501,184.8,197921.11,61.81,3,204,6.18,9
Uttar Pradesh,40668,37294,9437,332.1,95.3,3,1,2,1156,135303,576,15.28,6.755643,1725.541774,96.38,292143.86,69.03,10,357,7.72,12
Delhi,33007,74726,1532,435.8,330.0,18,2,6,1279,193066,303,3.24,0.352888,3519.027262,29.96,250880.26,66.33,6,61,8.05,2
Karnataka,70619,112252,9329,175.3,238.8,17,7,3,756,149072,892,1.13,4.330971,2914.543729,22.14,62215.32,23.88,7,188,8.29,17
Bihar,74527,27310,4676,82.2,134.3,20,0,0,1826,209564,687,9.22,6.57501,4693.922337,34.76,173569.02,84.52,9,535,4.83,3
Maharashtra,32730,46359,9308,424.7,287.7,29,1,2,1441,186253,800,6.91,8.755762,3385.727029,228.76,40702.77,34.81,7,126,4.24,19
Rajasthan,31895,86768,3954,246.6,322.4,19,4,2,742,221374,342,12.9,3.316205,358.178946,65.88,32061.0,21.85,5,297,4.98,5
Tamil Nadu,1294,61472,714,107.9,158.8,0,5,4,204,281517,533,13.35,5.187914,3544.049143,181.9,155713.12,25.88,6,394,8.02,10
Assam,46904,75433,8356,198.9,8.0,22,1,1,1472,116248,934,0.94,1.889387,3087.410159,52.62,143508.99,45.36,9,913,5.44,9
West Bengal,70553,98034,1168,134.7,310.5,6,5,4,443,199455,177,10.05,3.717246,4896.730385,20.05,120320.6,39.77,9,301,5.25,7
Haryana,43720,75478,3610,282.4,165.6,24,7,6,212,66575,307,10.06,8.389143,2537.051396,190.77,145385.47,38.55,9,158,8.87,17
Uttarakhand,37583,85868,1489,377.2,403.9,25,2,0,678,298820,978,5.21,5.436278,4792.538943,162.92,179895.31,88.08,10,309,5.9,12
Gujarat,2682,77629,3168,371.2,52.7,6,5,8,1043,146214,808,22.61,5.58873,803.160093,23.59,173889.45,29.83,2,48,3.82,10
Punjab,71619,84204,1007,3.6,288.2,26,8,5,1087,13638,533,23.18,9.713115,4567.624344,86.81,191961.11,86.77,4,734,6.11,16
Kerala,14469,6787,1766,37.7,430.0,24,0,3,524,183881,121,18.96,3.382655,4766.572299,55.42,264538.69,38.37,6,277,7.34,14
Madhya Pradesh,34241,11639,2591,345.2,57.0,13,8,7,837,119784,880,9.29,2.121041,1324.735422,233.29,239597.61,34.49,4,746,5.1,16
Chhattisgarh,10307,80142,5078,215.2,213.5,7,8,2,670,96957,787,18.12,3.63929,2169.685531,172.79,165177.87,60.99,4,694,5.59,15
Jharkhand,24347,6338,6086,265.2,253.0,6,5,8,180,217887,142,14.83,9.058988,4161.821198,223.54,20052.62,76.36,1,248,6.22,9
Odisha,4317,23651,6599,136.1,323.0,20,1,7,1808,134889,979,10.34,1.126467,3894.571445,138.42,133890.66,87.26,5,81,3.53,5
Telangana,79597,16656,7437,329.0,83.9,17,5,8,315,140993,559,18.55,8.837807,2313.488472,188.62,83762.95,54.88,7,613,6.77,12
Andhra Pradesh,1912,24475,2922,477.9,195.3,28,9,4,474,163713,312,23.84,1.98714,2014.189722,148.3,303540.11,62.7,6,696,6.71,1
Uttar Pradesh,61385,90787,8361,173.1,297.1,13,1,9,1213,93722,84,14.45,1.301349,938.64332,44.03,164040.68,25.95,8,132,8.95,8
Delhi,33413,35848,5127,218.1,122.6,0,3,1,1041,99553,507,9.78,1.299108,4208.33054,100.55,291550.31,41.92,5,475,7.74,4
Karnataka,59154,78175,8022,18.5,278.6,10,3,0,1594,159430,224,18.5,0.696403,4871.795746,198.06,276257.11,51.11,7,841,8.68,15
Bihar,42676,62758,3542,71.3,93.4,28,2,0,1479,24151,171,22.11,2.788077,3262.638309,125.4,84816.56,21.74,6,396,7.6,2
Maharashtra,1886,78397,5602,431.3,450.2,10,1,5,502,162119,392,7.65,4.254056,2587.554993,172.82,195397.87,80.97,2,714,8.34,1
Rajasthan,50763,3275,1365,302.8,7.8,8,6,3,1395,207035,70,1.12,0.870495,817.458215,238.72,265834.46,88.0,2,930,7.56,3
Tamil Nadu,59023,46490,2693,293.6,357.2,1,0,5,893,191575,971,20.1,4.138185,1025.710067,205.88,44248.56,75.85,7,526,4.68,15
Assam,52064,65019,7055,169.5,426.7,20,2,8,1177,10013,381,21.39,1.987623,2644.579468,156.91,318823.27,44.63,6,600,8.86,18
West Bengal,49319,47811,8052,418.1,418.1,8,3,9,276,52276,625,11.64,7.435145,4495.672018,60.95,131942.22,41.82,5,406,3.75,3
Haryana,6782,83151,6422,498.2,373.4,26,3,6,56,108259,229,13.59,2.044153,1985.400756,105.6,222276.93,77.24,8,901,8.6,2
Uttarakhand,79023,33967,5189,278.9,50.0,28,6,8,714,203466,998,4.84,9.645595,4952.064019,171.25,197887.28,32.85,2,283,6.13,13
Gujarat,56371,114300,880,415.3,368.0,0,4,1,260,217721,917,23.96,0.730785,2069.294272,226.67,68983.12,75.93,1,405,7.83,14
Punjab,10518,77506,4528,217.7,151.0,3,8,8,1613,51870,186,1.5,8.65248,2469.660304,72.9,73467.88,55.05,1,16,4.83,12
Kerala,25940,115178,8244,175.8,390.9,8,8,7,1234,92609,965,0.55,7.460901,440.500299,159.83,243807.52,87.99,3,857,3.55,19
Madhya Pradesh,17765,56965,4155,37.5,333.7,24,6,7,232,30218,168,17.46,7.38991,3346.588337,56.3,61902.63,47.76,8,680,6.1,17
Chhattisgarh,8472,46540,6298,327.3,258.4,18,9,9,1006,37132,434,15.79,2.520413,1421.800518,198.89,101650.53,80.26,8,719,3.09,14
Jharkhand,64514,35604,6925,38.4,243.8,28,5,8,964,169023,390,2.5,6.749663,2314.285378,110.83,38825.17,22.95,3,235,3.45,1
Odisha,74819,87986,7063,11.2,93.9,26,7,1,432,249466,293,3.65,5.905101,350.4108,14.23,119207.31,63.63,3,960,3.5,14
Telangana,69904,99535,1296,140.3,141.3,9,7,9,1360,82468,646,14.67,4.60437,3362.591009,72.51,127047.94,79.22,3,534,5.08,15
Andhra Pradesh,51434,116683,9511,123.4,184.3,26,8,6,1546,298260,339,4.92,8.883956,3315.454808,34.28,140141.7,63.65,10,608,4.87,16
Uttar Pradesh,65986,110345,7705,448.6,311.7,4,4,9,1520,13336,235,7.94,2.978799,2171.179932,217.53,247791.59,30.25,6,783,4.36,4
Delhi,42649,116115,1982,145.4,208.2,2,1,2,520,115734,249,1.34,9.222705,4774.311989,232.95,68815.12,81.42,1,899,7.3,13
Karnataka,54398,53623,9439,60.5,327.4,25,8,5,192,39413,52,13.68,5.399619,749.850978,21.53,340490.19,69.16,8,489,7.42,17
Bihar,40692,10171,6248,145.7,431.9,8,5,6,585,187315,552,22.33,5.181897,2839.740902,163.85,74678.59,81.06,2,805,3.09,16
Maharashtra,68426,91830,2313,61.3,254.7,12,2,7,738,284467,737,21.94,3.867879,4492.230734,42.01,286033.5,57.76,9,646,6.5,6
Rajasthan,61454,94898,9846,146.4,67.0,22,7,8,892,270093,907,9.62,7.50563,1832.141098,112.46,252736.66,63.22,9,483,5.89,15
Tamil Nadu,32695,13088,5614,426.2,389.6,27,7,2,1025,90380,492,6.82,6.585196,1007.877659,16.86,237844.61,43.57,7,930,6.36,18
Assam,57364,36466,2798,316.9,40.2,27,5,0,819,171725,134,5.03,3.746665,2954.951807,239.17,55046.01,77.44,6,429,5.09,4
West Bengal,42300,80435,9645,318.3,467.5,27,1,1,1332,299571,630,12.65,6.253916,2657.052485,129.28,329469.88,45.63,6,837,3.52,12
Haryana,29392,81197,7489,219.9,82.2,15,8,7,1082,68203,107,18.58,1.494804,4392.418457,170.56,109875.39,40.88,4,887,5.66,18
Uttarakhand,20475,14421,4352,153.9,441.4,2,8,4,1192,102933,941,23.5,8.237543,2489.188045,7.47,180859.22,56.39,5,511,4.28,16
Gujarat,46578,93035,3155,225.4,126.0,26,0,5,1936,255629,949,13.06,2.527353,2498.674394,70.41,295023.84,30.67,3,296,7.97,6
Punjab,53190,93496,8558,464.6,183.6,13,5,5,348,84515,370,7.87,8.829598,909.258018,227.64,341477.24,51.98,5,71,6.6,7
Kerala,28800,27534,1100,57.7,454.3,21,2,0,703,124138,603,3.54,2.550215,4684.632607,212.75,320673.12,56.99,2,665,3.1,7
Madhya Pradesh,21457,98891,9666,459.1,59.5,29,1,1,819,291927,643,9.1,8.892895,4276.703035,68.25,193852.39,69.67,7,306,8.53,4
Chhattisgarh,76166,104687,9945,11.4,484.9,1,2,1,1841,221086,589,5.48,6.622217,1568.825826,146.51,37304.71,50.62,6,449,8.82,1
Jharkhand,45353,44711,9809,118.3,473.7,19,0,9,914,58667,29,8.51,1.690723,4313.473765,136.41,159577.0,83.33,8,248,8.72,1
Odisha,31601,56460,307,109.5,393.4,12,3,2,1330,244878,803,11.42,2.665623,2939.113856,154.0,209272.07,58.75,1,11,8.03,19
Telangana,3942,34965,9909,370.7,122.8,15,8,5,736,214985,232,16.92,6.399559,4485.284038,8.52,342937.85,65.52,5,234,8.78,9
Andhra Pradesh,30334,107347,1690,437.1,126.7,3,6,6,1145,111639,369,8.69,8.035612,2744.104751,140.38,141141.6,67.65,4,266,3.74,13
Uttar Pradesh,77873,34353,5158,429.1,301.1,28,2,1,1466,177855,635,16.64,8.829595,383.440262,134.12,134556.58,44.55,8,797,8.79,2
Delhi,45139,41219,3922,322.8,236.1,25,6,9,1175,94989,844,3.23,2.271712,4142.600772,227.48,139757.21,42.52,10,202,6.89,7
Karnataka,27602,85222,6912,183.9,445.0,18,3,8,67,204783,165,9.42,1.846575,498.195927,74.05,28239.24,78.53,7,958,7.09,10
Bihar,59003,104497,8703,415.7,164.8,18,3,9,99,230536,186,20.86,7.423733,1886.685378,172.36,159103.44,54.13,1,803,7.63,15
Maharashtra,72350,104616,2927,227.9,144.1,8,1,5,828,137235,679,3.1,6.103125,180.782822,21.56,25227.83,26.74,2,850,8.04,9
Rajasthan,73266,100973,8287,325.7,468.7,13,5,3,1925,139959,718,7.15,2.601791,365.467464,219.52,160494.73,85.02,3,754,6.53,10
Tamil Nadu,8619,21459,6913,163.0,12.2,18,9,3,813,187922,224,11.25,0.214112,2161.355579,215.53,122636.41,43.73,6,43,8.2,4
Assam,21208,1827,3373,234.6,438.5,11,4,7,348,28452,885,11.67,8.412273,2743.894123,144.37,149397.54,54.25,10,418,5.74,8
West Bengal,63912,115655,7375,162.7,288.7,13,9,2,1886,112648,67,15.29,2.627978,3489.543565,241.22,264161.29,39.16,7,442,5.07,5
Haryana,68602,2076,698,256.9,191.9,7,0,0,953,89626,695,19.7,2.833466,1747.766508,148.71,318939.98,60.36,9,665,8.61,11
Uttarakhand,79382,89187,6361,197.5,12.6,23,6,5,246,47505,34,13.78,2.627873,4498.897906,92.4,347632.92,26.84,6,686,6.26,3
Gujarat,10314,101524,4233,114.0,477.1,28,0,6,1616,263473,589,12.07,2.283041,2962.893115,6.62,195119.98,56.56,4,83,6.02,7
Punjab,30344,4525,8549,164.4,414.6,5,3,1,44,223977,577,10.63,3.40275,298.092334,109.66,37179.28,73.53,2,723,8.23,7
Kerala,60349,91911,1845,355.8,63.0,15,0,9,1867,133859,551,11.93,5.813109,56.622016,110.56,104254.76,58.22,4,731,6.76,5
Madhya Pradesh,8042,32776,6960,70.5,18.3,13,2,8,1471,93210,255,16.42,8.581997,4891.888635,24.12,112810.39,85.36,7,24,3.64,12
Chhattisgarh,50901,80163,5917,194.9,153.1,15,2,3,746,233687,647,8.57,4.269134,259.572176,115.77,116433.56,63.43,2,845,5.86,11
Jharkhand,21155,88513,168,472.6,224.7,1,1,8,1699,135069,964,4.48,7.336031,3667.30014,60.04,71665.97,38.2,9,497,4.68,6
Odisha,22557,47091,2161,230.6,354.0,8,5,6,1194,233385,977,14.93,0.85961,4522.692916,127.83,246235.71,69.56,3,273,3.42,18
Telangana,42813,67855,7174,54.9,49.5,26,9,8,413,237814,176,10.75,9.66496,2689.036631,81.52,255304.87,65.32,6,997,5.58,8
Andhra Pradesh,39163,75228,5581,437.0,407.8,17,9,3,751,209988,664,18.17,9.441428,2628.837554,147.75,323304.41,43.5,3,346,3.21,11
Uttar Pradesh,69730,3005,1864,27.6,45.9,22,7,9,1944,164324,307,11.35,7.868507,3686.788587,79.97,311723.71,47.91,4,416,5.6,5
Delhi,16155,87942,1703,287.7,16.0,14,7,2,1921,122222,739,1.36,7.962256,1145.568631,135.4,253669.86,76.88,10,568,7.92,14
Karnataka,21405,66497,9670,303.4,137.2,2,3,0,1561,241404,110,20.75,7.93199,2130.391468,138.63,334957.62,46.65,6,506,6.67,17
Bihar,69691,59345,5230,424.3,39.4,21,5,9,723,89478,939,15.38,8.450664,813.904791,143.09,290861.08,27.56,9,416,4.1,2
Maharashtra,78844,118469,5567,63.6,473.4,23,3,6,911,118836,680,11.17,6.905713,3124.760541,72.84,273333.25,34.11,2,777,6.17,2
Rajasthan,4515,69889,265,305.8,434.0,19,9,8,570,31424,794,15.85,4.252188,2525.328436,118.85,40862.6,68.31,3,594,3.81,19
Tamil Nadu,75837,118428,3195,254.2,5.5,2,6,9,1594,246390,156,14.87,4.04265,4818.196041,149.61,219120.72,25.37,7,243,8.66,16
Assam,66612,107790,5633,169.1,436.8,5,0,4,1739,121368,406,7.47,4.44585,354.714914,141.12,51318.11,21.92,4,137,8.81,12
West Bengal,60556,31785,791,316.9,404.1,16,3,4,1409,94862,429,24.66,0.362873,1364.104789,145.91,237574.69,80.48,8,391,4.02,10
Haryana,12186,95560,6445,450.7,469.5,2,6,0,462,108997,260,1.37,4.791843,3227.839432,179.71,87241.91,84.94,4,26,6.41,10
Uttarakhand,21480,20125,1321,456.9,142.9,29,2,3,1855,287216,154,17.85,3.325502,4838.288955,156.43,323212.53,73.05,3,693,3.66,9
Gujarat,66056,113600,2409,127.4,398.1,18,8,0,1853,155226,529,18.23,4.76091,768.209389,111.22,13194.17,31.16,10,286,8.62,5
Punjab,66937,22669,6972,260.4,396.6,18,6,2,1698,28615,556,6.22,1.569523,2116.69786,153.63,48143.53,48.16,10,255,4.37,2
Kerala,49440,106531,755,401.5,301.6,5,3,3,1444,278830,677,11.12,3.664659,3149.482806,192.38,236917.16,73.81,3,10,3.43,2
Madhya Pradesh,25522,5377,2916,361.4,390.4,4,8,5,73,62482,52,9.64,6.130459,4249.221941,124.35,207124.82,56.31,4,666,3.84,8
Chhattisgarh,22273,108902,8958,469.8,269.4,3,1,1,1750,290760,13,2.56,9.51827,2987.033566,34.14,85276.57,65.41,8,120,7.38,5
Jharkhand,72086,12716,4358,100.8,194.9,6,9,3,226,170765,691,5.7,0.101718,677.533719,42.79,104827.7,61.85,9,844,5.53,5
Odisha,52987,3282,2520,258.3,437.4,2,4,9,614,220547,947,5.78,8.785636,4548.8985,165.52,119689.8,65.4,4,569,7.83,3
Telangana,42963,41427,1019,38.1,341.8,0,5,1,799,25370,130,17.91,1.935222,3314.473354,208.4,94253.23,76.57,7,440,5.99,18
Andhra Pradesh,45426,84092,7913,39.6,207.8,24,9,1,1401,285615,113,13.66,1.581011,2637.300918,101.38,85709.86,30.44,4,568,8.81,2
Uttar Pradesh,33625,117566,5886,469.2,411.0,15,1,6,1734,57969,666,3.89,6.116151,1037.278041,50.92,136533.6,78.39,6,500,7.2,12
